team1,team2
Kento MOMOTA,Bernat Amaya
Yuqi SHI,Pavel Kotsarenko
Tien Chen CHOU,Adel Hamek
Tommy SUGIARTO,Liang Liu
Wan Ho SON,Ping-Hsien Huang
Kantaphon WANGCHAROEN,Weiyi Zhang
Maxime Moreels,Dewei Liu
Armand Rodriguez,Bingyuan Li
Mohamed Abderrahime Belarbi,Kaian Wu
Ade Resky Dwicahyo,Zhengxing Wang
Emre Lale,Xujun Chen
Masashi Nishino,Geonyeop Cho
Junfeng Gu,Binghong Ye
Geonyeop Cho,Jingtong Chen
Lanxi Lei,Kuan-Ting Lin
Yunze Li,Xiang Li
Sheng Po Yu,Wei Chi Liu
Korakrit Laotrakul,Yang Yang
Zhengze Gao,Yen Chun Chen
Jhonatan Wu Zheng,Batdavaa Munkhbat
Kaian Wu,Lanxi Lei
Xujun Chen,Shiau Cheng Chen
Namboun Luangamath,Farouk Mohammed Hassan
Chengming Ren,Zhengze Gao
Weiyi Zhang,Daniel Nikolov
Yang Yang,Julien Carraggi
Ping-Hsien Huang,Ivan Rusev
Tobias Kuenzi,Teck Zhi Soo
Raul Must,Luís Enrique Peñalver
Luka Milic,Satinder Malik
Jan Louda,Patrick Bjerregaard
Azmy Qowimuramadhoni,Eason Wong
Karono Karono,Xavier Laperriere
Collins Valentine Filimon,Lan Xi Lei
Adrian Dziolko,Alexander Bianchini
Sergey Sirant,Seyed Mohammad Hossein Vakili
Daniel Nikolov,Sheng Po Yu
Siddharth .,Mateja Manic
Gurpartap Singh Dhaliwal,Mathew Fogarty
Hardik Makkar,Shi Feng Li
Peter Yan,Lino Munoz
Mateja Manic,Hai Chao Liu
Steffen Rasmussen,Ze Qi Zhou
Yunzhi Chen,Kevin Barkman
Pranav Srikanth,Hong Yang Weng
Miklos Kanyasi,Peng Bo Ren
Adwin Lau,Fei Xiang Sun
Brian Yang,Brian Yang
Yen-Yu Lee,Guang Zu Lu
Xavier Laperriere,Yu Xiang Huang
Hai Chao Liu,Yu Qi Shi
Lan Xi Lei,Gabriel Ma
Peng Bo Ren,Ilya Goncharov
Shi Feng Li,Vinh Quang Ho Nguyen
Fei Xiang Sun,Maksim Makalov
Hong Yang Weng,Amrullo Bakhshullaev
Vinson Chiu,Runze Yan
Cesar Adonis Brito Gonzalez,Dmitrii Klimenko
Nicholas Robert Henson Waller,Vladimir Shipilenko
Yu Xiang Huang,Chi Ming Wong
Runze Yan,Anton Ivanov
Vladimir Shipilenko,Anton Derbenev
Dmitrii Klimenko,Dai Watanabe
Miha Ivanič,Jun Peng Zhao
Matvei Manuylov,Kittipong Imnark
Alexey Panov,Rahul Bharadwaj B.M
Georgii Karpov,Gurpartap Singh Dhaliwal
Artyom Savatyugin,Phakorn Chotphinit
Dai Watanabe,Aryamann Tandon
Amrullo Bakhshullaev,Orijit Chaliha
Vinh Quang Ho Nguyen,Yu Peng Bai
Kiran George,Kenta Matsumura
Orijit Chaliha,Yosei Yamaguchi
Siddharth Jakhar,Ji Hoon Choi
Yu Peng Bai,Kee Liang Lau
Rishabh Deshpande,Shota Omoto
Kittipong Imnark,Jeffrey Lam
Talar Laa,Jia Wei Joel Koh
Rahul Bharadwaj B.M,Alberto Alvin Yulianto
